qa_id,route,split,difficulty
E01,ENROLL_REG,fewshot,easy
E02,ENROLL_REG,fewshot,easy
E03,ENROLL_REG,fewshot,easy
E04,ENROLL_REG,fewshot,medium
E05,ENROLL_REG,fewshot,hard-trap
E06,ENROLL_REG,eval,easy
E07,ENROLL_REG,eval,easy
E08,ENROLL_REG,eval,easy
E09,ENROLL_REG,eval,easy
E10,ENROLL_REG,eval,easy
E11,ENROLL_REG,eval,easy
E12,ENROLL_REG,eval,easy
E13,ENROLL_REG,eval,easy
E14,ENROLL_REG,eval,medium
E15,ENROLL_REG,eval,medium
E16,ENROLL_REG,eval,medium
E17,ENROLL_REG,eval,medium
E18,ENROLL_REG,eval,hard-trap
E19,ENROLL_REG,eval,hard-trap
E20,ENROLL_REG,eval,hard-trap
A01,ACADEMIC_STATUS,fewshot,easy
A02,ACADEMIC_STATUS,fewshot,easy
A03,ACADEMIC_STATUS,fewshot,easy
A04,ACADEMIC_STATUS,fewshot,medium
A05,ACADEMIC_STATUS,fewshot,hard-trap
A06,ACADEMIC_STATUS,eval,easy
A07,ACADEMIC_STATUS,eval,easy
A08,ACADEMIC_STATUS,eval,easy
A09,ACADEMIC_STATUS,eval,easy
A10,ACADEMIC_STATUS,eval,easy
A11,ACADEMIC_STATUS,eval,easy
A12,ACADEMIC_STATUS,eval,easy
A13,ACADEMIC_STATUS,eval,medium
A14,ACADEMIC_STATUS,eval,medium
A15,ACADEMIC_STATUS,eval,medium
A16,ACADEMIC_STATUS,eval,medium
A17,ACADEMIC_STATUS,eval,hard-trap
A18,ACADEMIC_STATUS,eval,hard-trap
A19,ACADEMIC_STATUS,eval,hard-trap
A20,ACADEMIC_STATUS,eval,hard-trap
S01,SCHOLARSHIP,fewshot,easy
S02,SCHOLARSHIP,fewshot,easy
S03,SCHOLARSHIP,fewshot,easy
S04,SCHOLARSHIP,fewshot,medium
S05,SCHOLARSHIP,fewshot,hard-trap
S06,SCHOLARSHIP,eval,easy
S07,SCHOLARSHIP,eval,easy
S08,SCHOLARSHIP,eval,easy
S09,SCHOLARSHIP,eval,easy
S10,SCHOLARSHIP,eval,easy
S11,SCHOLARSHIP,eval,easy
S12,SCHOLARSHIP,eval,easy
S13,SCHOLARSHIP,eval,easy
S14,SCHOLARSHIP,eval,medium
S15,SCHOLARSHIP,eval,medium
S16,SCHOLARSHIP,eval,medium
S17,SCHOLARSHIP,eval,medium
S18,SCHOLARSHIP,eval,hard-trap
S19,SCHOLARSHIP,eval,hard-trap
S20,SCHOLARSHIP,eval,hard-trap
L01,STUDENT_LIFE,fewshot,easy
L02,STUDENT_LIFE,fewshot,easy
L03,STUDENT_LIFE,fewshot,easy
L04,STUDENT_LIFE,fewshot,medium
L05,STUDENT_LIFE,fewshot,hard-trap
L06,STUDENT_LIFE,eval,easy
L07,STUDENT_LIFE,eval,easy
L08,STUDENT_LIFE,eval,easy
L09,STUDENT_LIFE,eval,easy
L10,STUDENT_LIFE,eval,easy
L11,STUDENT_LIFE,eval,easy
L12,STUDENT_LIFE,eval,medium
L13,STUDENT_LIFE,eval,medium
L14,STUDENT_LIFE,eval,medium
L15,STUDENT_LIFE,eval,medium
L16,STUDENT_LIFE,eval,hard-trap
L17,STUDENT_LIFE,eval,hard-trap
L18,STUDENT_LIFE,eval,hard-trap
L19,STUDENT_LIFE,eval,hard-trap
L20,STUDENT_LIFE,eval,hard-trap
O01,OTHER,outscope,easy
O02,OTHER,outscope,easy
O03,OTHER,outscope,easy
O04,OTHER,outscope,medium
O05,OTHER,outscope,hard-trap
O06,OTHER,outscope,easy
O07,OTHER,outscope,easy
O08,OTHER,outscope,easy
O09,OTHER,outscope,easy
O10,OTHER,outscope,easy
O11,OTHER,outscope,easy
O12,OTHER,outscope,easy
O13,OTHER,outscope,medium
O14,OTHER,outscope,medium
O15,OTHER,outscope,medium
O16,OTHER,outscope,hard-trap
O17,OTHER,outscope,hard-trap
O18,OTHER,outscope,hard-trap
O19,OTHER,outscope,hard-trap
O20,OTHER,outscope,hard-trap
