qa_id,question,intent
E01,이번 학기 등록 마감일이 언제인가요?,등록_마감일_질문
E02,수강신청은 제가 직접 해야 하나요?,수강신청_절차_질문
E03,한 학기에 최대 몇 학점까지 들을 수 있어요?,수강신청_학점한도_질문
E04,지난 학기에 B+ 받은 과목인데 재수강하면 성적이 어떻게 반영되나요?,재수강_성적반영_질문
E05,이번에 등록 안 하면 자동으로 휴학 처리되나요?,등록_미이행_질문
E06,계절학기는 한 번 신청에 몇 학점까지 들을 수 있나요?,계절학기_학점한도_질문
E07,성적에 이의가 있으면 언제까지 이의를 제기해야 하나요?,성적_이의신청_질문
E08,졸업하려면 평균 평점이 최소 몇 점 이상이어야 하나요?,졸업_평점기준_질문
E09,수강신청 후 마음이 바뀌어서 과목을 취소하고 싶은데 가능한가요?,수강신청_철회_질문
E10,F 학점 받은 과목도 재수강할 수 있나요?,재수강_자격_질문
E11,재수강하면 예전에 받았던 성적은 성적표에서 아예 없어지나요?,재수강_성적표시_질문
E12,몸이 아파서 수업에 못 갔는데 출석으로 인정받을 방법이 있나요?,출석_인정_질문
E13,등록금을 한 번에 다 못 내는데 나눠 낼 수 있나요?,등록금_분할납부_질문
E14,이번 학기에 원래 한도보다 학점을 더 듣고 싶은데 방법이 있나요?,수강신청_초과학점_질문
E15,시간표가 겹치는 두 과목을 같은 학기에 같이 들을 수 있나요?,수강신청_시간중복_질문
E16,계절학기에서 딴 학점도 제 평점평균에 들어가나요?,계절학기_성적반영_질문
E17,수강신청을 아예 안 했는데 등록금은 돌려받을 수 있나요?,등록금_반환_질문
E18,다른 대학교에서 미리 들은 수업 학점을 여기서도 인정받을 수 있나요?,학점_타교인정_질문
E19,시험 볼 때 부정행위를 하다 걸리면 어떻게 되나요?,시험_부정행위_질문
E20,자퇴하면 이미 낸 등록금은 돌려받을 수 있나요?,등록금_반환_질문
A01,휴학하려면 어떻게 신청해야 하나요?,휴학_신청절차_질문
A02,군대 가야 하는데 휴학은 어떻게 하나요?,휴학_군입대_질문
A03,복학은 언제까지 신청해야 하나요?,복학_신청기한_질문
A04,다른 학과로 옮기고 싶은데 아무 때나 가능한가요?,전과_시기_질문
A05,제적되면 다시 학교 다닐 방법이 아예 없나요?,제적_재입학가능성_질문
