qa_id,hard_type,route_expected,route_alt,question,expected_behavior,note
H01,경계모호,ENROLL_REG,ACADEMIC_STATUS,휴학하면 등록금은 어떻게 되나요?,"등록금 반환·대체인정 여부가 핵심이라 ENROLL_REG를 우선하되, 확신이 낮으면 이관한다.",학적(휴학) 키워드에 이끌려 ACADEMIC_STATUS로 오분류하기 쉬움
H02,경계모호,SCHOLARSHIP,ACADEMIC_STATUS,장학금을 받다가 휴학하면 그 장학금은 어떻게 되나요?,장학금 지속 여부를 묻는 것이 핵심이라 SCHOLARSHIP을 우선한다.,휴학(학적) 키워드가 있지만 실제 질문은 장학금 처리
H03,경계모호,SCHOLARSHIP,ENROLL_REG,성적경고를 받으면 장학금에도 영향이 있나요?,성적경고 자체보다 장학금 지급 영향을 묻는 것이 핵심이라 SCHOLARSHIP을 우선한다.,성적경고(ENROLL_REG) 키워드에 이끌리기 쉬움
H04,경계모호,ENROLL_REG,ACADEMIC_STATUS,전과하면 등록금 내는 계열이 바뀔 수도 있나요?,등록금 계열 변경이 핵심이라 ENROLL_REG를 우선한다.,전과(ACADEMIC_STATUS) 키워드에 이끌리기 쉬움
H05,경계모호,STUDENT_LIFE,ACADEMIC_STATUS,동아리 임원인데 징계를 받으면 자격이 없어지나요?,동아리 임원 자격 요건이 핵심이라 STUDENT_LIFE를 우선한다.,징계→제적 가능성을 연상해 ACADEMIC_STATUS로 오분류하기 쉬움
H06,다중의도,ACADEMIC_STATUS,SCHOLARSHIP,"휴학 신청 방법도 알려주시고, 휴학하면 장학금은 어떻게 되는지도 알려주세요.",문의가 실제로 두 건(휴학 절차 + 장학금 영향)이다. 쪼개서 각각 답해야 한다.,
H07,다중의도,ENROLL_REG,SCHOLARSHIP,"재수강 규정 좀 알려주시고, 겸사겸사 이번 학기 장학금 신청 기한도 알려주세요.","재수강 규정과 장학금 신청 기한, 두 건으로 나눠서 답해야 한다.",
H08,다중의도,ACADEMIC_STATUS,SCHOLARSHIP,"복학 신청 기한이랑, 복학하면 장학금 신청도 다시 해야 하는지 궁금해요.","복학 절차와 장학금 재신청 여부, 두 건으로 나눠서 답해야 한다.",
H09,다중의도,ENROLL_REG,ACADEMIC_STATUS,"이번 학기 등록 마감일이랑, 등록 안 하면 제적되는지도 궁금해요.","등록 마감일과 제적 사유, 두 건으로 나눠서 답해야 한다.",
H10,다중의도,SCHOLARSHIP,ENROLL_REG,"장학금 중복 수혜 기준이랑, 등록금 분할납부도 같이 신청할 수 있는지 궁금해요.","장학금 중복 지급 기준과 등록금 분할납부, 두 건으로 나눠서 답해야 한다.",
H11,분류체계밖,OTHER,,생활관(기숙사) 신청은 어떻게 하나요?,생활관규정은 이번 버전 범위에서 제외되어 근거가 없다. 범위밖 안내 후 이관한다.,
H12,분류체계밖,OTHER,,동아리 활동 중 다친 병원비는 학교가 내주나요?,배상·보험 처리는 학생생활규정에 없는 내용이다. 범위밖 안내 후 이관한다.,
H13,분류체계밖,OTHER,,제 등록금 고지서가 왜 아직 안 나왔는지 확인해주세요.,본인 개별 사례 조회는 이 에이전트의 범위 밖(학사정보시스템 미연동)이다.,
H14,분류체계밖,OTHER,,총장님 이메일 주소 좀 알려주세요.,규정 안내와 무관한 개인 연락처 요청이라 범위밖이다.,
H15,분류체계밖,OTHER,,다른 학교 학점 인정 기준도 같이 알려주실 수 있나요?,타 대학 규정은 근거문서에 없다. 범위밖 안내 후 이관한다.,
H16,극단단답,OTHER,,언제까지예요?,무엇의 기한을 묻는지 대상이 없다. 무엇에 대한 질문인지 되물어야 한다.,
H17,극단단답,OTHER,,얼마나 걸려요?,무엇의 처리기간을 묻는지 대상이 없다. 되물어야 한다.,
H18,극단단답,OTHER,,그거 되나요?,지시 대상이 없다. 무엇을 가리키는지 되물어야 한다.,
H19,극단단답,OTHER,,몇 학점이에요?,어떤 제도(재수강/졸업/장학 등)에 대한 학점 기준인지 특정되지 않았다. 되물어야 한다.,
H20,극단단답,OTHER,,안 되면 어떻게 해요?,무엇이 안 되는 경우를 말하는지 대상이 없다. 되물어야 한다.,
H21,문맥의존,OTHER,,그럼 그건 언제까지 신청해야 하나요?,앞 턴에서 특정된 대상(무엇을 신청)이 필요하다. 단독으로는 답할 수 없다.,
H22,문맥의존,OTHER,,그거 말고 다른 방법은 없나요?,앞 턴의 맥락 없이는 '그거'가 무엇인지 알 수 없다.,
H23,문맥의존,OTHER,,그러면 저는 해당 안 되는 거죠?,앞 턴의 조건이 있어야 판단할 수 있는 질문이다.,
H24,문맥의존,OTHER,,그 경우에도 마찬가지인가요?,'그 경우'가 무엇인지 앞 턴 없이는 알 수 없다.,
H25,문맥의존,OTHER,,그럼 신청은 어디서 하나요?,무엇을 신청하는지 앞 턴 맥락이 필요하다.,
H26,텍스트손상,ACADEMIC_STATUS,,휴학신청언제까지에요??,띄어쓰기와 종결이 깨졌지만 의미는 휴학 신청 기한 문의로 명확하다.,
H27,텍스트손상,SCHOLARSHIP,,장학금신청기간이언제인가요,띄어쓰기가 없지만 장학금 신청 기간 문의로 명확하다.,
H28,텍스트손상,ENROLL_REG,,등록금환불언제되나요ㅠㅠ,감탄 표현이 섞였지만 등록금 반환 시점 문의로 명확하다.,
H29,텍스트손상,STUDENT_LIFE,,동아리등록어떻게하나요??,띄어쓰기가 없지만 동아리 등록 절차 문의로 명확하다.,
H30,텍스트손상,ENROLL_REG,,재수강되나요?몇번까지?,구두점이 붙어있지만 재수강 가능 여부·횟수 문의로 명확하다.,
